AVR,Tortuosity,Microaneurysms,CDR,Fractal_Dimension,Image_Path,Risk_Label
0.6257445134108515,433.6962128419084,3054,0.6043192956509934,5.065638060062764,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR100_jpg.rf.ede6be1c5ddb46d7cf975e2aad081580.jpg,2
0.5276235498873857,570.6513305112023,206,0.3760684283854974,5.894567109377296,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR101_jpg.rf.876e16a42807e0164f23cb09eb92bbfa.jpg,1
0.50906961112408,228.72040201500084,3883,0.3908419704893736,6.121492087218314,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR102_jpg.rf.2d699b31cbb09a43dddc6a3351c04ace.jpg,1
0.575176519345909,552.4184623773714,3057,0.47010049815172217,6.599809148815358,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR105_jpg.rf.f62a8437dd55d0accf6ebee224d77f77.jpg,2
0.7290287458617025,570.7128085681888,4752,0.45582691354625854,5.254683032467767,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR108_jpg.rf.769d0f529fc3d9b9461a57c597610377.jpg,2
0.6521960115407367,535.1346887939924,1616,0.5597290316895771,6.355295432026911,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR110_jpg.rf.c04a7e2b8154443030cb82223a97dd45.jpg,2
0.8134013771326913,202.44782534807786,4267,0.722498732210373,5.5174707737774344,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR111_jpg.rf.d012379447991de0f7c3d31fd4b54575.jpg,1
0.7512123121262536,491.6916862442611,3349,0.3184678314217723,6.075769620597768,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR112_jpg.rf.45524124014bc47b350229772ce72360.jpg,1
0.8750481690158217,179.23016409109007,1970,0.4326376746464919,5.563945392525383,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR113_jpg.rf.4e8ad9681562509b4d266e2abb8eb51a.jpg,1
0.7790312483040156,365.30920726092694,2651,0.37647959819954724,5.630956422231787,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR114_jpg.rf.fc3e9eb4151eab2674ab35237ac50172.jpg,1
0.8725833938269415,183.41864921087694,3713,0.5277689122892323,6.950281759651036,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR117_jpg.rf.459b077d8e1ece92b7796f8f6fa314da.jpg,1
0.5871016026524744,438.2928849544071,1647,0.6925878563394334,6.6181741303942845,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR118_jpg.rf.cc1e550d73d8469d423fa81aa75f5777.jpg,2
0.8420719952790896,552.9588871879197,2061,0.3556731758458401,5.118721167731941,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR119_jpg.rf.ee779725c5b7aeaa9fb71c5dfdf85b79.jpg,2
0.5898320306354699,351.2065877096312,4180,0.4782105165894229,6.955790723469222,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR11_jpg.rf.aca72cd3fa111e66d527af5e6e132be0.jpg,2
0.5550568529070355,192.50276335290596,4436,0.7275045326552443,6.210471314534454,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR120_jpg.rf.d9c68ec14ce8f8b9045a3b10ae10135e.jpg,2
0.709712111783922,234.42865921542796,3116,0.6530049338970636,5.315209805963716,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR122_jpg.rf.ddcf7e190296876bd8416da511b9a7c1.jpg,2
0.7178561600329851,169.71730689732414,1889,0.35065890501043656,5.2293510334426925,C:/Users/Zaid Chikte/Downloads/Eye diseases.v2i.folder\CSCR125_jpg.rf.de9da07b3e0800f1b6693aa136f14705.jpg,1
